name,ref,rung,bt_acc1,bt_acc2,v3s1_acc1,v3s1_acc2,v2_acc1,v2_acc2,lane_hops,flips_smoothed
Kendrick Lamar - Squabble Up Intro C (Bizzy B Edit).mp3,104.0,tag,True,True,False,False,,,0.0,1.6
Kendrick Lamar vs Pitbull vs DJ Kuba & Neitan - Squabble Up (DJ Roller Hotel Room Service Edit).mp3,126.0,tag,True,True,True,True,,,0.0,0.0
Mark Ronson ft Bruno Mars - Uptown Funk (Nylze Edit Mashup).mp3,116.0,owner,True,True,True,True,,,0.0,0.8
Michael Jackson - Beat It (Nylze Edit).mp3,132.0,tag,True,True,False,False,,,1.3,4.76
Sean Paul ft Rihanna - Break It Off (Dendy Vip Edit).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Teriyaki Boyz - Tokyo Drift (Hayat & Cyril Remix).mp3,127.0,tag,True,True,True,True,,,0.0,0.0
Lissa DJ Lyly ft Mmv Maria V - Only Djs Can (Dirty).mp3,105.0,tag,True,True,True,True,,,0.4,2.4
Nelly Furtado & Timbaland vs Tiesto & Odd Mob - Promiscuous (DJ Roller Wont Be Possible Edit).mp3,126.0,tag,True,True,True,True,,,0.0,0.0
Shade By Noon - No Pretend (Original Mix).mp3,125.0,tag,True,True,True,True,,,0.0,0.0
Tinashe X Khia X Benny Benassi X The Prodigy - Nasty Satisfaction (DJ Roller Festival Edit).mp3,128.0,tag,True,True,True,True,,,0.0,0.89
Pink Floyd Another Brick In The Wall - Floortone Afro House Remix (Afro House Remix).mp3,122.0,tag,True,True,True,True,,,1.6,2.4
Charlie Xcx - Boom Clap (Ayfull Remix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Eurythmics - Sweet Dreams (Dunisco Remix).mp3,135.0,tag,True,True,True,True,,,0.0,0.8
Pabanor ft Lindsay J - Boom Boom (Extended Eclectic Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Tove Lo - Habits Stay High (Gabriel Velazquez Remix).mp3,125.0,tag,True,True,True,True,,,0.0,1.6
"Akon vs Cat Dealers, Makj & Faioli - Sexy Bitch (DJ Roller Club Edit).mp3",130.0,tag,True,True,True,True,,,0.0,0.0
Michael Jackson - Thriller (Tim Cosmos 2025 Rework).mp3,122.0,tag,True,True,True,True,,,0.0,1.6
San Pacho vs The Pussycat Dolls - Trompeta vs Buttons (M M Mashup).mp3,126.0,tag,True,True,True,True,,,0.0,1.6
Steve Mckelly - Take Me Home Country Roads (Stefano Mattara Remix).mp3,128.0,tag,True,True,True,True,,,0.0,0.8
Just D - I Will Survive Club Mix (Remix).mp3,125.0,tag,True,True,True,True,,,0.0,2.4
Kendrick Lamar - Squabble Up (Nylze Edit Dirty Mashup).mp3,104.0,tag,True,True,True,True,,,0.0,0.8
Rihanna & Drake - Whats My Name (Nylze Edit).mp3,100.0,tag,True,True,True,True,,,0.0,0.8
Crystal Waters X Diskull - Gipsy Woman X Letyago (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,0.0
Kendrick Lamar X DJ Mustard X Fatman Scoop X Kool & The Gang - TV Off (DJ Mac Hype Celebration Intro 121 101 Transition).mp3,103.0,tag,True,True,False,False,,,0.0,2.4
David Guetta - Memories (Alex Armani Edit).mp3,132.0,tag,True,True,True,True,,,0.8,2.4
DJ Jackpine - Steady Man (Original Mix).mp3,125.0,tag,True,True,True,True,,,0.0,1.6
Dire Straits - Money For Nothing (Ricardo Giacomini Remix).mp3,126.0,tag,True,True,True,True,,,0.0,0.0
Dababy - Pop Dat Thang (Denero Remix).mp3,130.0,tag,True,True,True,True,,,0.0,0.0
Dean Turnley - Actin Tough (Ron Reeser Remix).mp3,132.0,tag,True,True,True,True,,,0.0,0.0
"Pinkpantheress, Zara Larsson - Stateside (Dash Hype Remix).mp3",128.0,tag,True,True,True,True,,,0.0,0.0
The Police - Every Breath You Take (Denero Remix).mp3,130.0,tag,True,True,True,True,,,0.0,0.0
"Usher, Lil Jon, Ludacris - Yeah (Denero Remix).mp3",130.0,tag,True,True,True,True,,,0.0,0.0
Beatz From L E - Take Off (Blastersboyz Remix).mp3,129.0,tag,True,True,True,True,,,0.0,4.0
DJ Cp - Underrated (Original Mix).mp3,131.0,tag,True,True,True,True,,,0.0,0.0
Darkentity - Control (Extended Mix).mp3,130.0,tag,True,True,True,True,,,0.0,0.0
Dave Matthias - You And I (Original Mix).mp3,122.0,tag,True,True,False,False,,,0.0,1.6
"David Guetta, Akon - Sexy Bitch (ft Akon).mp3",130.0,tag,True,True,True,True,,,0.0,0.0
Djvibascious - Wheres The Fing Bass (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.0,0.0
Drake - Which One (Jacob Andrew Remix).mp3,125.0,tag,True,True,True,True,,,0.0,0.0
Flo Rida - Low (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.8,3.2
French Montana & Max B - Ever Since You Left Me Kid Nemesis Edition (Clean).mp3,126.0,tag,True,True,True,True,,,0.4,2.4
Hayley Lloyd & Yelah - Reclaim The Fire (Extended Mix).mp3,127.0,tag,True,True,True,True,,,0.0,0.0
"John Summit, The Chainsmoker - All The Time (Original Mix).mp3",130.0,tag,True,True,True,True,,,0.0,1.6
"Shelina Rose, Stewart, Pabanor - Im So Excited (Pabanor Eclectic Mix).mp3",123.0,tag,True,True,True,True,,,1.6,4.0
"Shelina Rose, Stewart, Pabanor - Im So Excited (Pabanor Mix).mp3",123.0,tag,True,True,True,True,,,0.8,4.8
